"equipo","rival","fecha","local_visitante","goles_favor","goles_contra","resultado","tipo_partido","clima","temperatura","humedad","dias_descanso","tiros_puerta","posesion","lesionados","suspendidos"
"Argelia","Bosnia y Herzegovina",2026-03-14,"Local",0,1,"Derrota","Eliminatoria","Lluvia",19,74,3,7,62,0,0
"Argelia","Irán",2026-03-04,"Local",3,3,"Empate","Eliminatoria","Soleado",25,56,5,7,54,1,0
"Argelia","Colombia",2026-02-21,"Visitante",1,1,"Empate","Liga de Naciones","Soleado",21,67,9,5,53,2,0
"Argentina","Paraguay",2026-05-29,"Visitante",1,1,"Empate","Amistoso","Nublado",18,56,5,7,53,0,1
"Argentina","Uruguay",2026-05-20,"Local",4,0,"Victoria","Copa","Nublado",17,85,4,9,61,1,0
"Argentina","Brasil",2026-05-06,"Local",1,2,"Derrota","Liga de Naciones","Soleado",28,55,4,8,55,0,1
"Argentina","Colombia",2026-04-26,"Visitante",0,2,"Derrota","Copa","Lluvia",19,78,6,6,56,1,0
"Argentina","Ecuador",2026-04-17,"Local",4,1,"Victoria","Amistoso","Soleado",18,67,4,11,54,3,0
"Argentina","Cabo Verde",2026-04-04,"Visitante",3,0,"Victoria","Oficial","Soleado",25,69,4,10,45,0,2
"Argentina","Canadá",2026-03-23,"Local",1,0,"Victoria","Amistoso","Soleado",28,50,3,8,57,2,0
"Argentina","Alemania",2026-03-15,"Visitante",1,2,"Derrota","Oficial","Soleado",25,66,7,6,58,0,1
"Argentina","Australia",2026-03-01,"Visitante",3,1,"Victoria","Eliminatoria","Soleado",23,40,9,12,34,1,0
"Argentina","Noruega",2026-02-18,"Visitante",3,0,"Victoria","Eliminatoria","Nublado",24,55,3,9,50,2,0
"Australia","Arabia Saudita",2026-05-29,"Local",2,0,"Victoria","Amistoso","Soleado",27,65,8,8,63,0,0
"Australia","Catar",2026-05-17,"Local",1,2,"Derrota","Eliminatoria","Soleado",30,55,6,8,52,3,2
"Australia","Uzbekistán",2026-05-07,"Visitante",2,2,"Empate","Copa","Soleado",26,61,6,9,42,0,0
"Australia","Jordania",2026-04-27,"Local",2,1,"Victoria","Copa","Soleado",30,48,7,8,57,0,1
"Australia","Japón",2026-04-16,"Local",0,3,"Derrota","Amistoso","Soleado",25,44,5,5,55,0,0
"Australia","Irak",2026-04-04,"Visitante",0,0,"Empate","Amistoso","Soleado",26,38,7,5,36,0,0
"Australia","Irán",2026-03-23,"Visitante",4,0,"Victoria","Liga de Naciones","Soleado",18,43,9,12,43,1,1
"Australia","Canadá",2026-03-13,"Local",3,0,"Victoria","Copa","Caluroso",31,56,4,10,50,3,1
"Australia","Brasil",2026-03-02,"Visitante",0,2,"Derrota","Eliminatoria","Soleado",20,57,3,6,47,1,0
"Australia","República Democrática del Congo",2026-02-18,"Visitante",3,1,"Victoria","Liga de Naciones","Soleado",25,59,4,9,51,1,1
"Austria","Alemania",2026-05-31,"Local",0,2,"Derrota","Eliminatoria","Nublado",15,78,8,5,59,0,0
"Austria","Croacia",2026-05-17,"Local",1,0,"Victoria","Eliminatoria","Soleado",30,65,6,5,47,1,0
"Austria","República Checa",2026-05-07,"Visitante",2,1,"Victoria","Eliminatoria","Soleado",19,54,3,7,45,1,0
"Austria","Noruega",2026-04-27,"Visitante",2,3,"Derrota","Eliminatoria","Frio",5,56,4,7,57,1,0
"Austria","España",2026-04-15,"Visitante",0,1,"Derrota","Eliminatoria","Soleado",18,49,4,4,40,2,0
"Austria","Turquía",2026-04-05,"Visitante",1,0,"Victoria","Eliminatoria","Nublado",18,77,3,7,48,0,0
"Austria","Francia",2026-03-26,"Visitante",0,4,"Derrota","Eliminatoria","Caluroso",36,62,5,6,48,2,1
"Austria","Catar",2026-03-15,"Visitante",1,0,"Victoria","Copa","Lluvia",18,90,9,7,56,0,1
"Austria","Ghana",2026-03-04,"Local",0,0,"Empate","Oficial","Soleado",30,69,4,4,54,0,0
"Austria","Nueva Zelanda",2026-02-21,"Local",1,1,"Empate","Eliminatoria","Nublado",18,70,6,6,55,0,0
"Argentina","Paraguay",2026-05-29,"Visitante",1,1,"Empate","Amistoso","Nublado",18,56,5,7,53,0,1
"Argentina","Uruguay",2026-05-20,"Local",4,0,"Victoria","Copa","Nublado",17,85,4,9,61,1,0
"Argentina","Brasil",2026-05-06,"Local",1,2,"Derrota","Liga de Naciones","Soleado",28,55,4,8,55,0,1
"Argentina","Colombia",2026-04-26,"Visitante",0,2,"Derrota","Copa","Lluvia",19,78,6,6,56,1,0
"Argentina","Ecuador",2026-04-17,"Local",4,1,"Victoria","Amistoso","Soleado",18,67,4,11,54,3,0
"Argentina","Cabo Verde",2026-04-04,"Visitante",3,0,"Victoria","Oficial","Soleado",25,69,4,10,45,0,2
"Argentina","Canadá",2026-03-23,"Local",1,0,"Victoria","Amistoso","Soleado",28,50,3,8,57,2,0
"Argentina","Alemania",2026-03-15,"Visitante",1,2,"Derrota","Oficial","Soleado",25,66,7,6,58,0,1
"Argentina","Australia",2026-03-01,"Visitante",3,1,"Victoria","Eliminatoria","Soleado",23,40,9,12,34,1,0
"Argentina","Noruega",2026-02-18,"Visitante",3,0,"Victoria","Eliminatoria","Nublado",24,55,3,9,50,2,0
"Argelia","Ghana",2026-05-28,"Local",3,0,"Victoria","Copa","Soleado",21,63,8,9,51,1,0
"Argelia","Sudáfrica",2026-05-18,"Visitante",1,1,"Empate","Copa","Soleado",27,47,7,8,47,1,0
"Argelia","República Democrática del Congo",2026-05-09,"Local",2,0,"Victoria","Copa","Nublado",16,85,8,8,46,1,0
"Argelia","Túnez",2026-04-27,"Local",3,0,"Victoria","Oficial","Soleado",29,63,5,8,56,0,0
"Argelia","Senegal",2026-04-14,"Local",1,1,"Empate","Eliminatoria","Caluroso",34,51,8,5,49,3,0
"Argelia","Costa de Marfil",2026-04-06,"Local",1,2,"Derrota","Liga de Naciones","Soleado",18,50,6,6,58,0,0
"Argelia","Egipto",2026-03-26,"Visitante",2,1,"Victoria","Eliminatoria","Soleado",27,42,6,5,49,1,0
"Argelia","Bosnia y Herzegovina",2026-03-14,"Local",0,1,"Derrota","Eliminatoria","Lluvia",19,74,3,7,62,0,0
"Argelia","Irán",2026-03-04,"Local",3,3,"Empate","Eliminatoria","Soleado",25,56,5,7,54,1,0
"Argelia","Colombia",2026-02-21,"Visitante",1,1,"Empate","Liga de Naciones","Soleado",21,67,9,5,53,2,0
"Arabia Saudita","Corea del Sur",2026-05-28,"Visitante",0,4,"Derrota","Oficial","Nublado",18,64,8,4,48,1,1
"Arabia Saudita","Irán",2026-05-18,"Visitante",1,1,"Empate","Liga de Naciones","Lluvia",20,78,8,6,52,1,1
"Arabia Saudita","Irak",2026-05-06,"Local",2,2,"Empate","Oficial","Nublado",21,74,4,6,54,0,0
"Arabia Saudita","Jordania",2026-04-28,"Local",2,0,"Victoria","Amistoso","Soleado",27,37,8,7,54,1,0
"Arabia Saudita","Australia",2026-04-15,"Local",3,1,"Victoria","Copa","Soleado",20,66,9,6,49,0,0
"Arabia Saudita","Japón",2026-04-05,"Visitante",0,2,"Derrota","Eliminatoria","Soleado",30,50,3,3,50,2,1
"Arabia Saudita","Uzbekistán",2026-03-26,"Local",1,0,"Victoria","Oficial","Nublado",16,60,9,6,53,0,0
"Arabia Saudita","Austria",2026-03-13,"Visitante",1,0,"Victoria","Copa","Caluroso",29,56,8,3,45,1,0
"Arabia Saudita","Países Bajos",2026-03-03,"Local",4,2,"Victoria","Copa","Soleado",26,61,9,8,56,1,0
"Arabia Saudita","República Checa",2026-02-18,"Local",3,1,"Victoria","Eliminatoria","Nublado",21,81,9,7,47,3,0
"Australia","Arabia Saudita",2026-05-29,"Local",2,0,"Victoria","Amistoso","Soleado",27,65,8,8,63,0,0
"Australia","Catar",2026-05-17,"Local",1,2,"Derrota","Eliminatoria","Soleado",30,55,6,8,52,3,2
"Australia","Uzbekistán",2026-05-07,"Visitante",2,2,"Empate","Copa","Soleado",26,61,6,9,42,0,0
"Australia","Jordania",2026-04-27,"Local",2,1,"Victoria","Copa","Soleado",30,48,7,8,57,0,1
"Australia","Japón",2026-04-16,"Local",0,3,"Derrota","Amistoso","Soleado",25,44,5,5,55,0,0
"Australia","Irak",2026-04-04,"Visitante",0,0,"Empate","Amistoso","Soleado",26,38,7,5,36,0,0
"Australia","Irán",2026-03-23,"Visitante",4,0,"Victoria","Liga de Naciones","Soleado",18,43,9,12,43,1,1
"Australia","Canadá",2026-03-13,"Local",3,0,"Victoria","Copa","Caluroso",31,56,4,10,50,3,1
"Australia","Brasil",2026-03-02,"Visitante",0,2,"Derrota","Eliminatoria","Soleado",20,57,3,6,47,1,0
"Australia","República Democrática del Congo",2026-02-18,"Visitante",3,1,"Victoria","Liga de Naciones","Soleado",25,59,4,9,51,1,1
"Austria","Alemania",2026-05-31,"Local",0,2,"Derrota","Eliminatoria","Nublado",15,78,8,5,59,0,0
"Austria","Croacia",2026-05-17,"Local",1,0,"Victoria","Eliminatoria","Soleado",30,65,6,5,47,1,0
"Austria","República Checa",2026-05-07,"Visitante",2,1,"Victoria","Eliminatoria","Soleado",19,54,3,7,45,1,0
"Austria","Noruega",2026-04-27,"Visitante",2,3,"Derrota","Eliminatoria","Frio",5,56,4,7,57,1,0
"Austria","España",2026-04-15,"Visitante",0,1,"Derrota","Eliminatoria","Soleado",18,49,4,4,40,2,0
"Austria","Turquía",2026-04-05,"Visitante",1,0,"Victoria","Eliminatoria","Nublado",18,77,3,7,48,0,0
"Austria","Francia",2026-03-26,"Visitante",0,4,"Derrota","Eliminatoria","Caluroso",36,62,5,6,48,2,1
"Austria","Catar",2026-03-15,"Visitante",1,0,"Victoria","Copa","Lluvia",18,90,9,7,56,0,1
"Austria","Ghana",2026-03-04,"Local",0,0,"Empate","Oficial","Soleado",30,69,4,4,54,0,0
"Austria","Nueva Zelanda",2026-02-21,"Local",1,1,"Empate","Eliminatoria","Nublado",18,70,6,6,55,0,0
"Bélgica","Austria",2026-05-28,"Local",0,1,"Derrota","Amistoso","Caluroso",29,60,6,4,50,1,1
"Bélgica","Escocia",2026-05-20,"Local",3,0,"Victoria","Copa","Lluvia",23,94,7,9,49,1,0
"Bélgica","Portugal",2026-05-09,"Visitante",1,1,"Empate","Oficial","Caluroso",34,43,8,5,52,1,1
"Bélgica","Croacia",2026-04-26,"Local",2,3,"Derrota","Eliminatoria","Soleado",19,39,6,9,64,3,0
"Bélgica","Suiza",2026-04-16,"Visitante",0,2,"Derrota","Liga de Naciones","Lluvia",17,85,3,5,47,2,0
"Bélgica","Alemania",2026-04-04,"Local",2,0,"Victoria","Eliminatoria","Soleado",26,42,3,9,56,2,0
"Bélgica","Francia",2026-03-25,"Local",1,1,"Empate","Eliminatoria","Frio",11,47,5,4,49,0,1
"Bélgica","Canadá",2026-03-12,"Local",1,0,"Victoria","Oficial","Frio",7,66,7,6,52,1,0
"Bélgica","Sudáfrica",2026-03-03,"Visitante",1,1,"Empate","Eliminatoria","Lluvia",16,79,7,6,52,2,0
"Bélgica","Costa de Marfil",2026-02-21,"Visitante",4,2,"Victoria","Oficial","Nublado",14,66,5,13,58,1,0
"Bosnia y Herzegovina","Turquía",2026-05-29,"Local",5,0,"Victoria","Eliminatoria","Soleado",20,55,5,13,55,0,0
"Bosnia y Herzegovina","Suiza",2026-05-19,"Visitante",2,1,"Victoria","Eliminatoria","Lluvia",18,77,8,6,41,3,0
"Bosnia y Herzegovina","España",2026-05-08,"Visitante",0,1,"Derrota","Liga de Naciones","Lluvia",22,75,8,5,40,1,1
"Bosnia y Herzegovina","Inglaterra",2026-04-28,"Visitante",0,0,"Empate","Oficial","Nublado",17,67,5,3,48,2,0
"Bosnia y Herzegovina","Escocia",2026-04-17,"Visitante",2,2,"Empate","Amistoso","Lluvia",22,91,8,9,59,1,0
"Bosnia y Herzegovina","Países Bajos",2026-04-03,"Visitante",2,1,"Victoria","Oficial","Soleado",25,40,4,8,46,0,0
"Bosnia y Herzegovina","Noruega",2026-03-23,"Local",1,1,"Empate","Amistoso","Nublado",22,66,4,3,46,0,1
"Bosnia y Herzegovina","Argentina",2026-03-13,"Local",1,0,"Victoria","Copa","Frio",6,53,7,4,53,1,0
"Bosnia y Herzegovina","Sudáfrica",2026-03-01,"Local",1,2,"Derrota","Eliminatoria","Lluvia",19,91,9,7,58,0,0
"Bosnia y Herzegovina","Corea del Sur",2026-02-21,"Local",2,1,"Victoria","Liga de Naciones","Nublado",15,55,8,6,51,1,0
"Brasil","Colombia",2026-05-29,"Local",1,2,"Derrota","Liga de Naciones","Lluvia",24,84,6,5,56,0,0
"Brasil","Paraguay",2026-05-18,"Visitante",2,1,"Victoria","Liga de Naciones","Soleado",20,48,7,9,54,0,0
"Brasil","Argentina",2026-05-06,"Visitante",1,0,"Victoria","Eliminatoria","Nublado",14,79,5,6,50,0,0
"Brasil","Ecuador",2026-04-28,"Local",3,1,"Victoria","Copa","Soleado",20,42,8,9,62,0,0
"Brasil","Uruguay",2026-04-17,"Visitante",1,1,"Empate","Eliminatoria","Nublado",24,63,4,7,48,1,0
"Brasil","Turquía",2026-04-04,"Local",1,1,"Empate","Copa","Soleado",25,35,5,7,62,1,1
"Brasil","Curazao",2026-03-24,"Visitante",0,0,"Empate","Liga de Naciones","Lluvia",17,72,7,7,49,1,0
"Brasil","Suecia",2026-03-15,"Local",3,2,"Victoria","Eliminatoria","Frio",7,72,9,11,55,3,1
"Brasil","República Democrática del Congo",2026-03-02,"Visitante",4,0,"Victoria","Eliminatoria","Lluvia",23,94,4,10,50,0,0
"Brasil","Cabo Verde",2026-02-20,"Visitante",4,2,"Victoria","Eliminatoria","Nublado",21,68,4,12,53,0,0
"Cabo Verde","Argelia",2026-05-28,"Local",1,2,"Derrota","Liga de Naciones","Soleado",30,51,9,7,53,0,2
"Cabo Verde","República Democrática del Congo",2026-05-18,"Local",0,3,"Derrota","Liga de Naciones","Lluvia",19,76,3,4,52,4,1
"Cabo Verde","Costa de Marfil",2026-05-06,"Visitante",0,1,"Derrota","Amistoso","Lluvia",18,82,5,3,49,0,0
"Cabo Verde","Egipto",2026-04-27,"Visitante",1,0,"Victoria","Liga de Naciones","Soleado",26,36,9,5,44,1,0
"Cabo Verde","Sudáfrica",2026-04-15,"Local",1,0,"Victoria","Copa","Caluroso",35,38,5,5,56,1,0
"Cabo Verde","Marruecos",2026-04-05,"Local",0,2,"Derrota","Eliminatoria","Nublado",23,75,3,4,47,3,0
"Cabo Verde","Túnez",2026-03-23,"Local",0,1,"Derrota","Eliminatoria","Frio",11,70,5,4,50,0,1
"Cabo Verde","Noruega",2026-03-13,"Visitante",1,3,"Derrota","Eliminatoria","Soleado",18,57,6,5,36,1,1
"Cabo Verde","Haití",2026-03-01,"Local",1,1,"Empate","Amistoso","Soleado",27,46,7,6,48,1,1
"Cabo Verde","Croacia",2026-02-21,"Local",1,2,"Derrota","Eliminatoria","Nublado",20,83,9,6,53,1,0
"Canadá","Panamá",2026-05-31,"Local",2,2,"Empate","Amistoso","Soleado",25,69,9,7,51,1,0
"Canadá","Haití",2026-05-20,"Local",2,0,"Victoria","Liga de Naciones","Soleado",23,35,7,11,56,1,1
"Canadá","México",2026-05-08,"Local",5,1,"Victoria","Eliminatoria","Lluvia",17,94,4,9,61,1,0
"Canadá","Curazao",2026-04-27,"Visitante",0,1,"Derrota","Oficial","Lluvia",24,76,4,5,53,0,0
"Canadá","Estados Unidos",2026-04-15,"Visitante",0,1,"Derrota","Amistoso","Nublado",19,62,5,7,47,1,0
"Canadá","Cabo Verde",2026-04-03,"Local",4,1,"Victoria","Eliminatoria","Nublado",17,80,3,9,53,2,0
"Canadá","Escocia",2026-03-23,"Local",3,2,"Victoria","Liga de Naciones","Soleado",23,46,8,9,58,1,0
"Canadá","Inglaterra",2026-03-13,"Local",0,2,"Derrota","Oficial","Soleado",30,55,7,5,57,2,2
"Canadá","Marruecos",2026-03-02,"Visitante",0,0,"Empate","Amistoso","Nublado",18,59,6,4,53,0,1
"Canadá","Senegal",2026-02-18,"Visitante",1,0,"Victoria","Amistoso","Nublado",16,78,5,8,45,2,0
"Catar","Arabia Saudita",2026-05-29,"Local",3,2,"Victoria","Liga de Naciones","Lluvia",21,93,6,8,37,2,1
"Catar","Irak",2026-05-18,"Visitante",0,3,"Derrota","Eliminatoria","Lluvia",23,86,4,7,45,3,1
"Catar","Irán",2026-05-08,"Local",3,1,"Victoria","Oficial","Soleado",21,56,3,7,55,3,0
"Catar","Uzbekistán",2026-04-27,"Visitante",2,1,"Victoria","Eliminatoria","Soleado",19,38,4,7,52,3,1
"Catar","Japón",2026-04-17,"Visitante",2,0,"Victoria","Copa","Lluvia",23,95,9,8,49,0,0
"Catar","Corea del Sur",2026-04-06,"Visitante",0,1,"Derrota","Eliminatoria","Soleado",30,42,5,4,59,2,0
"Catar","Jordania",2026-03-26,"Visitante",1,1,"Empate","Eliminatoria","Soleado",18,56,9,4,44,2,0
"Catar","Bosnia y Herzegovina",2026-03-15,"Visitante",2,1,"Victoria","Liga de Naciones","Lluvia",24,95,8,5,59,0,1
"Catar","España",2026-03-02,"Visitante",2,1,"Victoria","Eliminatoria","Nublado",22,79,4,4,44,1,0
"Catar","Países Bajos",2026-02-19,"Visitante",1,0,"Victoria","Liga de Naciones","Soleado",28,61,8,4,41,0,1
"Colombia","Argentina",2026-05-30,"Local",2,1,"Victoria","Oficial","Soleado",27,66,8,7,49,0,0
"Colombia","Paraguay",2026-05-19,"Visitante",1,1,"Empate","Amistoso","Soleado",28,38,5,8,43,3,0
"Colombia","Ecuador",2026-05-08,"Local",2,0,"Victoria","Copa","Soleado",27,58,5,8,56,0,0
"Colombia","Uruguay",2026-04-28,"Local",3,2,"Victoria","Oficial","Nublado",22,68,9,8,52,2,0
"Colombia","Brasil",2026-04-16,"Local",1,1,"Empate","Oficial","Soleado",25,69,9,6,51,0,0
"Colombia","Bosnia y Herzegovina",2026-04-03,"Visitante",4,0,"Victoria","Liga de Naciones","Soleado",26,56,4,11,44,1,0
"Colombia","Argelia",2026-03-25,"Local",3,0,"Victoria","Amistoso","Frio",9,46,5,7,58,0,1
"Colombia","Haití",2026-03-15,"Local",1,0,"Victoria","Eliminatoria","Nublado",17,56,8,8,54,2,0
"Colombia","Irán",2026-03-04,"Local",2,3,"Derrota","Liga de Naciones","Caluroso",31,57,6,6,50,2,0
"Colombia","Escocia",2026-02-18,"Local",1,0,"Victoria","Liga de Naciones","Lluvia",21,77,7,6,54,4,1
"Corea del Sur","Australia",2026-05-29,"Local",2,2,"Empate","Amistoso","Soleado",29,37,6,9,59,0,0
"Corea del Sur","Jordania",2026-05-19,"Local",2,1,"Victoria","Oficial","Soleado",29,37,8,5,69,2,0
"Corea del Sur","Catar",2026-05-06,"Visitante",2,2,"Empate","Amistoso","Soleado",27,36,6,5,46,2,1
"Corea del Sur","Uzbekistán",2026-04-26,"Local",2,2,"Empate","Amistoso","Frio",5,75,7,8,60,1,0
"Corea del Sur","Arabia Saudita",2026-04-16,"Local",1,5,"Derrota","Eliminatoria","Nublado",19,72,9,5,45,0,0
"Corea del Sur","Irak",2026-04-06,"Local",2,1,"Victoria","Oficial","Nublado",18,57,6,5,60,0,1
"Corea del Sur","Japón",2026-03-26,"Local",3,1,"Victoria","Oficial","Lluvia",24,73,5,10,54,3,0
"Corea del Sur","Canadá",2026-03-13,"Visitante",2,1,"Victoria","Liga de Naciones","Nublado",18,58,6,9,49,0,0
"Corea del Sur","Bélgica",2026-03-02,"Local",0,2,"Derrota","Amistoso","Nublado",22,81,5,4,42,1,1
"Corea del Sur","Argelia",2026-02-19,"Visitante",3,1,"Victoria","Amistoso","Soleado",23,52,8,9,57,3,0
"Costa de Marfil","Egipto",2026-05-29,"Visitante",3,0,"Victoria","Oficial","Soleado",23,40,4,8,44,4,0
"Costa de Marfil","Sudáfrica",2026-05-18,"Visitante",0,0,"Empate","Eliminatoria","Soleado",27,63,5,5,41,2,0
"Costa de Marfil","Túnez",2026-05-08,"Visitante",1,1,"Empate","Eliminatoria","Lluvia",15,88,9,4,51,0,0
"Costa de Marfil","Senegal",2026-04-26,"Local",1,1,"Empate","Eliminatoria","Caluroso",36,44,9,6,58,1,1
"Costa de Marfil","Cabo Verde",2026-04-14,"Visitante",1,0,"Victoria","Oficial","Soleado",19,52,3,6,47,0,0
"Costa de Marfil","República Democrática del Congo",2026-04-06,"Visitante",2,2,"Empate","Eliminatoria","Soleado",19,67,7,7,46,0,1
"Costa de Marfil","Marruecos",2026-03-25,"Local",1,3,"Derrota","Eliminatoria","Soleado",21,66,9,5,51,2,0
"Costa de Marfil","Catar",2026-03-13,"Local",2,0,"Victoria","Liga de Naciones","Soleado",26,67,5,8,62,3,1
"Costa de Marfil","Corea del Sur",2026-03-01,"Visitante",0,1,"Derrota","Eliminatoria","Soleado",28,39,6,4,55,2,1
"Costa de Marfil","Croacia",2026-02-19,"Local",2,0,"Victoria","Amistoso","Nublado",23,72,4,8,50,2,1
"Croacia","Suecia",2026-05-28,"Local",0,1,"Derrota","Eliminatoria","Frio",11,54,9,3,55,2,0
"Croacia","Turquía",2026-05-19,"Visitante",4,2,"Victoria","Amistoso","Soleado",22,35,3,11,47,1,1
"Croacia","España",2026-05-06,"Visitante",0,2,"Derrota","Eliminatoria","Frio",13,73,3,6,52,2,1
"Croacia","Bélgica",2026-04-27,"Local",1,0,"Victoria","Amistoso","Soleado",19,45,3,5,55,0,1
"Croacia","Alemania",2026-04-17,"Visitante",1,0,"Victoria","Amistoso","Soleado",25,35,6,6,48,3,0
"Croacia","Escocia",2026-04-06,"Local",2,2,"Empate","Liga de Naciones","Nublado",19,61,4,11,53,2,1
"Croacia","Francia",2026-03-23,"Local",0,0,"Empate","Eliminatoria","Frio",12,60,6,6,51,0,0
"Croacia","Costa de Marfil",2026-03-15,"Local",0,1,"Derrota","Eliminatoria","Lluvia",23,80,5,5,60,0,0
"Croacia","Uruguay",2026-03-03,"Local",3,0,"Victoria","Copa","Nublado",17,79,8,9,53,0,0
"Croacia","Irak",2026-02-18,"Visitante",2,0,"Victoria","Liga de Naciones","Soleado",27,46,9,8,56,2,0
"Curazao","Estados Unidos",2026-05-29,"Local",2,1,"Victoria","Eliminatoria","Soleado",30,38,4,3,57,1,1
"Curazao","Canadá",2026-05-18,"Visitante",1,1,"Empate","Eliminatoria","Lluvia",18,82,3,4,44,2,0
"Curazao","Panamá",2026-05-08,"Visitante",0,2,"Derrota","Oficial","Caluroso",33,65,3,6,47,1,0
"Curazao","México",2026-04-26,"Visitante",0,2,"Derrota","Eliminatoria","Frio",13,56,5,3,47,0,0
"Curazao","Haití",2026-04-14,"Visitante",0,4,"Derrota","Amistoso","Soleado",30,35,8,6,40,0,0
"Curazao","Sudáfrica",2026-04-04,"Local",2,0,"Victoria","Eliminatoria","Lluvia",16,79,3,5,50,1,0
"Curazao","Uruguay",2026-03-24,"Local",0,2,"Derrota","Amistoso","Nublado",16,80,8,1,40,2,0
"Curazao","Argelia",2026-03-15,"Visitante",3,3,"Empate","Eliminatoria","Soleado",28,53,7,7,46,2,0
"Curazao","Ghana",2026-03-03,"Visitante",1,3,"Derrota","Liga de Naciones","Lluvia",15,92,6,4,36,0,0
"Curazao","Irak",2026-02-20,"Local",1,0,"Victoria","Oficial","Nublado",23,68,8,7,49,3,0
"Ecuador","Uruguay",2026-05-29,"Local",1,1,"Empate","Liga de Naciones","Soleado",19,67,4,7,49,0,0
"Ecuador","Paraguay",2026-05-17,"Visitante",1,0,"Victoria","Copa","Lluvia",25,90,8,7,48,1,0
"Ecuador","Argentina",2026-05-07,"Local",0,1,"Derrota","Amistoso","Nublado",22,78,8,2,49,0,0
"Ecuador","Brasil",2026-04-28,"Local",0,1,"Derrota","Eliminatoria","Soleado",27,55,8,4,56,2,1
"Ecuador","Colombia",2026-04-15,"Local",2,1,"Victoria","Eliminatoria","Soleado",18,69,4,6,50,1,2
"Ecuador","Ghana",2026-04-06,"Visitante",1,0,"Victoria","Amistoso","Soleado",22,42,5,6,40,1,0
"Ecuador","Curazao",2026-03-23,"Local",1,0,"Victoria","Oficial","Caluroso",32,58,4,7,55,1,0
"Ecuador","Catar",2026-03-15,"Visitante",5,3,"Victoria","Eliminatoria","Caluroso",34,58,5,10,49,1,0
"Ecuador","Irak",2026-03-02,"Visitante",2,0,"Victoria","Eliminatoria","Frio",9,54,4,12,53,1,0
